gene,control_rep2,exp_rep1,control_rep1,exp_rep2,exp_rep3,control_rep3
ENSG00000224966.4,0,0,0,0,0,0
ENSG00000183888.4,0,2,1,2,1,2
ENSG00000233078.1,0,0,0,0,0,0
ENSG00000173641.18,15,67,54,99,61,37
ENSG00000186510.12,19,15,7,10,20,21
ENSG00000232456.1,7,4,9,5,10,13
ENSG00000184908.20,52,41,49,52,60,81
ENSG00000185519.9,66,55,98,62,129,99
ENSG00000142627.13,9582,15750,10758,16673,15796,13499
ENSG00000227959.2,18,16,19,27,23,14
ENSG00000224621.1,12,24,7,12,5,16
ENSG00000234166.1,0,0,0,0,0,0
ENSG00000142632.17,1882,1579,1983,1730,2110,2514
